s,X,Y,phi,U,V
9.990000,-0.988281,0.011719,1.000000,0.000000,0.000000
9.990000,-0.988281,0.019531,0.531278,0.000000,0.000000
9.990000,-0.988281,0.027344,0.297899,0.000000,0.000000
9.990000,-0.988281,0.035156,0.174862,0.000000,0.000000
9.990000,-0.988281,0.042969,0.106579,0.000000,0.000000
9.990000,-0.988281,0.050781,0.066968,0.000000,0.000000
9.990000,-0.988281,0.058594,0.043123,0.000000,0.000000
9.990000,-0.988281,0.066406,0.028324,0.000000,0.000000
9.990000,-0.988281,0.074219,0.018906,0.000000,0.000000
9.990000,-0.988281,0.082031,0.012789,0.000000,0.000000
9.990000,-0.988281,0.089844,0.008748,0.000000,0.000000
9.990000,-0.988281,0.097656,0.006040,0.000000,0.000000
9.990000,-0.988281,0.105469,0.004204,0.000000,0.000000
9.990000,-0.988281,0.113281,0.002947,0.000000,0.000000
9.990000,-0.988281,0.121094,0.002078,0.000000,0.000000
9.990000,-0.988281,0.128906,0.001473,0.000000,0.000000
9.990000,-0.988281,0.136719,0.001049,0.000000,0.000000
9.990000,-0.988281,0.144531,0.000751,0.000000,0.000000
9.990000,-0.988281,0.152344,0.000539,0.000000,0.000000
9.990000,-0.988281,0.160156,0.000388,0.000000,0.000000
9.990000,-0.988281,0.167969,0.000281,0.000000,0.000000
9.990000,-0.988281,0.175781,0.000203,0.000000,0.000000
9.990000,-0.988281,0.183594,0.000148,0.000000,0.000000
9.990000,-0.988281,0.191406,0.000108,0.000000,0.000000
9.990000,-0.988281,0.199219,0.000079,0.000000,0.000000
9.990000,-0.988281,0.207031,0.000058,0.000000,0.000000
9.990000,-0.988281,0.214844,0.000042,0.000000,0.000000
9.990000,-0.988281,0.222656,0.000031,0.000000,0.000000
9.990000,-0.988281,0.230469,0.000023,0.000000,0.000000
9.990000,-0.988281,0.238281,0.000017,0.000000,0.000000
9.990000,-0.988281,0.246094,0.000012,0.000000,0.000000
9.990000,-0.988281,0.253906,0.000009,0.000000,0.000000
9.990000,-0.988281,0.261719,0.000007,0.000000,0.000000
9.990000,-0.988281,0.269531,0.000005,0.000000,0.000000
9.990000,-0.988281,0.277344,0.000004,0.000000,0.000000
9.990000,-0.988281,0.285156,0.000003,0.000000,0.000000
9.990000,-0.988281,0.292969,0.000002,0.000000,0.000000
9.990000,-0.988281,0.300781,0.000002,0.000000,0.000000
9.990000,-0.988281,0.308594,0.000001,0.000000,0.000000
9.990000,-0.988281,0.316406,0.000001,0.000000,0.000000
9.990000,-0.988281,0.324219,0.000001,0.000000,0.000000
9.990000,-0.988281,0.332031,0.000000,0.000000,0.000000
9.990000,-0.988281,0.339844,0.000000,0.000000,0.000000
9.990000,-0.988281,0.347656,0.000000,0.000000,0.000000
9.990000,-0.988281,0.355469,0.000000,0.000000,0.000000
9.990000,-0.988281,0.363281,0.000000,0.000000,0.000000
9.990000,-0.988281,0.371094,0.000000,0.000000,0.000000
9.990000,-0.988281,0.378906,0.000000,0.000000,0.000000
9.990000,-0.988281,0.386719,0.000000,0.000000,0.000000
9.990000,-0.988281,0.394531,0.000000,0.000000,0.000000
9.990000,-0.988281,0.402344,0.000000,0.000000,0.000000
9.990000,-0.988281,0.410156,0.000000,0.000000,0.000000
9.990000,-0.988281,0.417969,0.000000,0.000000,0.000000
9.990000,-0.988281,0.425781,0.000000,0.000000,0.000000
