s,X,Y,phi,U,V
149.900000,-0.976562,0.023438,1.012534,0.000000,0.000000
149.900000,-0.976562,0.039062,0.615934,0.000000,0.000000
149.900000,-0.976562,0.054688,0.427595,0.000000,0.000000
149.900000,-0.976562,0.070312,0.323952,0.000000,0.000000
149.900000,-0.976562,0.085938,0.259906,0.000000,0.000000
149.900000,-0.976562,0.101562,0.216776,0.000000,0.000000
149.900000,-0.976562,0.117188,0.185843,0.000000,0.000000
149.900000,-0.976562,0.132812,0.162594,0.000000,0.000000
149.900000,-0.976562,0.148438,0.144486,0.000000,0.000000
149.900000,-0.976562,0.164062,0.129980,0.000000,0.000000
149.900000,-0.976562,0.179688,0.118095,0.000000,0.000000
149.900000,-0.976562,0.195312,0.108175,0.000000,0.000000
149.900000,-0.976562,0.210938,0.099765,0.000000,0.000000
149.900000,-0.976562,0.226562,0.092539,0.000000,0.000000
149.900000,-0.976562,0.242188,0.086260,0.000000,0.000000
149.900000,-0.976562,0.257812,0.080748,0.000000,0.000000
149.900000,-0.976562,0.273438,0.075865,0.000000,0.000000
149.900000,-0.976562,0.289062,0.071504,0.000000,0.000000
149.900000,-0.976562,0.304688,0.067582,0.000000,0.000000
149.900000,-0.976562,0.320312,0.064030,0.000000,0.000000
149.900000,-0.976562,0.335938,0.060794,0.000000,0.000000
149.900000,-0.976562,0.351562,0.057828,0.000000,0.000000
149.900000,-0.976562,0.367188,0.055095,0.000000,0.000000
149.900000,-0.976562,0.382812,0.052565,0.000000,0.000000
149.900000,-0.976562,0.398438,0.050210,0.000000,0.000000
149.900000,-0.976562,0.414062,0.048009,0.000000,0.000000
149.900000,-0.976562,0.429688,0.045942,0.000000,0.000000
149.900000,-0.976562,0.445312,0.043994,0.000000,0.000000
149.900000,-0.976562,0.460938,0.042150,0.000000,0.000000
149.900000,-0.976562,0.476562,0.040398,0.000000,0.000000
149.900000,-0.976562,0.492188,0.038727,0.000000,0.000000
149.900000,-0.976562,0.507812,0.037128,0.000000,0.000000
149.900000,-0.976562,0.523438,0.035592,0.000000,0.000000
149.900000,-0.976562,0.539062,0.034113,0.000000,0.000000
149.900000,-0.976562,0.554688,0.032683,0.000000,0.000000
149.900000,-0.976562,0.570312,0.031297,0.000000,0.000000
149.900000,-0.976562,0.585938,0.029950,0.000000,0.000000
149.900000,-0.976562,0.601562,0.028637,0.000000,0.000000
149.900000,-0.976562,0.617188,0.027355,0.000000,0.000000
149.900000,-0.976562,0.632812,0.026098,0.000000,0.000000
149.900000,-0.976562,0.648438,0.024865,0.000000,0.000000
149.900000,-0.976562,0.664062,0.023652,0.000000,0.000000
149.900000,-0.976562,0.679688,0.022457,0.000000,0.000000
149.900000,-0.976562,0.695312,0.021277,0.000000,0.000000
149.900000,-0.976562,0.710938,0.020110,0.000000,0.000000
149.900000,-0.976562,0.726562,0.018954,0.000000,0.000000
149.900000,-0.976562,0.742188,0.017808,0.000000,0.000000
149.900000,-0.976562,0.757812,0.016670,0.000000,0.000000
149.900000,-0.976562,0.773438,0.015538,0.000000,0.000000
149.900000,-0.976562,0.789062,0.014413,0.000000,0.000000
149.900000,-0.976562,0.804688,0.013292,0.000000,0.000000
149.900000,-0.976562,0.820312,0.012175,0.000000,0.000000
149.900000,-0.976562,0.835938,0.011062,0.000000,0.000000
