s,X,Y,phi,U,V
9.999000,-0.988281,0.023438,0.000026,0.000000,0.000000
9.999000,-0.988281,0.039062,0.000060,0.000000,0.000000
9.999000,-0.988281,0.054688,0.000102,0.000000,0.000000
9.999000,-0.988281,0.070312,0.000152,0.000000,0.000000
9.999000,-0.988281,0.085938,0.000212,0.000000,0.000000
9.999000,-0.988281,0.101562,0.000280,0.000000,0.000000
9.999000,-0.988281,0.117188,0.000357,0.000000,0.000000
9.999000,-0.988281,0.132812,0.000442,0.000000,0.000000
9.999000,-0.988281,0.148438,0.000535,0.000000,0.000000
9.999000,-0.988281,0.164062,0.000636,0.000000,0.000000
9.999000,-0.988281,0.179688,0.000742,0.000000,0.000000
9.999000,-0.988281,0.195312,0.000854,0.000000,0.000000
9.999000,-0.988281,0.210938,0.000971,0.000000,0.000000
9.999000,-0.988281,0.226562,0.001091,0.000000,0.000000
9.999000,-0.988281,0.242188,0.001212,0.000000,0.000000
9.999000,-0.988281,0.257812,0.001335,0.000000,0.000000
9.999000,-0.988281,0.273438,0.001457,0.000000,0.000000
9.999000,-0.988281,0.289062,0.001578,0.000000,0.000000
9.999000,-0.988281,0.304688,0.001696,0.000000,0.000000
9.999000,-0.988281,0.320312,0.001811,0.000000,0.000000
9.999000,-0.988281,0.335938,0.001921,0.000000,0.000000
9.999000,-0.988281,0.351562,0.002025,0.000000,0.000000
9.999000,-0.988281,0.367188,0.002123,0.000000,0.000000
9.999000,-0.988281,0.382812,0.002214,0.000000,0.000000
9.999000,-0.988281,0.398438,0.002297,0.000000,0.000000
9.999000,-0.988281,0.414062,0.002372,0.000000,0.000000
9.999000,-0.988281,0.429688,0.002439,0.000000,0.000000
9.999000,-0.988281,0.445312,0.002496,0.000000,0.000000
9.999000,-0.988281,0.460938,0.002544,0.000000,0.000000
9.999000,-0.988281,0.476562,0.002582,0.000000,0.000000
9.999000,-0.988281,0.492188,0.002612,0.000000,0.000000
9.999000,-0.988281,0.507812,0.002631,0.000000,0.000000
9.999000,-0.988281,0.523438,0.002641,0.000000,0.000000
9.999000,-0.988281,0.539062,0.002642,0.000000,0.000000
9.999000,-0.988281,0.554688,0.002634,0.000000,0.000000
9.999000,-0.988281,0.570312,0.002616,0.000000,0.000000
9.999000,-0.988281,0.585938,0.002591,0.000000,0.000000
9.999000,-0.988281,0.601562,0.002557,0.000000,0.000000
9.999000,-0.988281,0.617188,0.002515,0.000000,0.000000
9.999000,-0.988281,0.632812,0.002466,0.000000,0.000000
9.999000,-0.988281,0.648438,0.002410,0.000000,0.000000
9.999000,-0.988281,0.664062,0.002347,0.000000,0.000000
9.999000,-0.988281,0.679688,0.002279,0.000000,0.000000
9.999000,-0.988281,0.695312,0.002205,0.000000,0.000000
9.999000,-0.988281,0.710938,0.002127,0.000000,0.000000
9.999000,-0.988281,0.726562,0.002044,0.000000,0.000000
9.999000,-0.988281,0.742188,0.001958,0.000000,0.000000
9.999000,-0.988281,0.757812,0.001869,0.000000,0.000000
9.999000,-0.988281,0.773438,0.001777,0.000000,0.000000
9.999000,-0.988281,0.789062,0.001684,0.000000,0.000000
9.999000,-0.988281,0.804688,0.001589,0.000000,0.000000
9.999000,-0.988281,0.820312,0.001494,0.000000,0.000000
9.999000,-0.988281,0.835938,0.001399,0.000000,0.000000
9.999000,-0.988281,0.851562,0.001305,0.000000,0.000000
9.999000,-0.988281,0.867188,0.001212,0.000000,0.000000
9.999000,-0.988281,0.882812,0.001121,0.000000,0.000000
9.999000,-0.988281,0.898438,0.001032,0.000000,0.000000
9.999000,-0.988281,0.914062,0.000946,0.000000,0.000000
9.999000,-0.988281,0.929688,0.000862,0.000000,0.000000
9.999000,-0.988281,0.945312,0.000782,0.000000,0.000000
9.999000,-0.988281,0.960938,0.000706,0.000000,0.000000
9.999000,-0.988281,0.976562,0.000635,0.000000,0.000000
9.999000,-0.988281,0.992188,0.000567,0.000000,0.000000
9.999000,-0.988281,1.007812,0.000504,0.000000,0.000000
9.999000,-0.988281,1.023438,0.000445,0.000000,0.000000
9.999000,-0.988281,1.039062,0.000390,0.000000,0.000000
9.999000,-0.988281,1.054688,0.000341,0.000000,0.000000
9.999000,-0.988281,1.070312,0.000296,0.000000,0.000000
