s,X,Y,phi,U,V
9.999000,-0.976562,0.046875,0.000126,0.000000,0.000000
9.999000,-0.976562,0.078125,0.000321,0.000000,0.000000
9.999000,-0.976562,0.109375,0.000589,0.000000,0.000000
9.999000,-0.976562,0.140625,0.000928,0.000000,0.000000
9.999000,-0.976562,0.171875,0.001328,0.000000,0.000000
9.999000,-0.976562,0.203125,0.001778,0.000000,0.000000
9.999000,-0.976562,0.234375,0.002259,0.000000,0.000000
9.999000,-0.976562,0.265625,0.002752,0.000000,0.000000
9.999000,-0.976562,0.296875,0.003237,0.000000,0.000000
9.999000,-0.976562,0.328125,0.003697,0.000000,0.000000
9.999000,-0.976562,0.359375,0.004115,0.000000,0.000000
9.999000,-0.976562,0.390625,0.004479,0.000000,0.000000
9.999000,-0.976562,0.421875,0.004777,0.000000,0.000000
9.999000,-0.976562,0.453125,0.005004,0.000000,0.000000
9.999000,-0.976562,0.484375,0.005155,0.000000,0.000000
9.999000,-0.976562,0.515625,0.005229,0.000000,0.000000
9.999000,-0.976562,0.546875,0.005228,0.000000,0.000000
9.999000,-0.976562,0.578125,0.005156,0.000000,0.000000
9.999000,-0.976562,0.609375,0.005016,0.000000,0.000000
9.999000,-0.976562,0.640625,0.004816,0.000000,0.000000
9.999000,-0.976562,0.671875,0.004564,0.000000,0.000000
9.999000,-0.976562,0.703125,0.004267,0.000000,0.000000
9.999000,-0.976562,0.734375,0.003936,0.000000,0.000000
9.999000,-0.976562,0.765625,0.003580,0.000000,0.000000
9.999000,-0.976562,0.796875,0.003209,0.000000,0.000000
9.999000,-0.976562,0.828125,0.002833,0.000000,0.000000
9.999000,-0.976562,0.859375,0.002461,0.000000,0.000000
9.999000,-0.976562,0.890625,0.002101,0.000000,0.000000
9.999000,-0.976562,0.921875,0.001762,0.000000,0.000000
9.999000,-0.976562,0.953125,0.001449,0.000000,0.000000
9.999000,-0.976562,0.984375,0.001168,0.000000,0.000000
9.999000,-0.976562,1.015625,0.000920,0.000000,0.000000
9.999000,-0.976562,1.046875,0.000709,0.000000,0.000000
9.999000,-0.976562,1.078125,0.000533,0.000000,0.000000
9.999000,-0.976562,1.109375,0.000390,0.000000,0.000000
9.999000,-0.976562,1.140625,0.000278,0.000000,0.000000
9.999000,-0.976562,1.171875,0.000192,0.000000,0.000000
9.999000,-0.976562,1.203125,0.000129,0.000000,0.000000
9.999000,-0.976562,1.234375,0.000084,0.000000,0.000000
9.999000,-0.976562,1.265625,0.000052,0.000000,0.000000
9.999000,-0.976562,1.296875,0.000032,0.000000,0.000000
9.999000,-0.976562,1.328125,0.000018,0.000000,0.000000
9.999000,-0.976562,1.359375,0.000010,0.000000,0.000000
9.999000,-0.976562,1.390625,0.000006,0.000000,0.000000
9.999000,-0.976562,1.421875,0.000003,0.000000,0.000000
9.999000,-0.976562,1.453125,0.000001,0.000000,0.000000
9.999000,-0.976562,1.484375,0.000001,0.000000,0.000000
9.999000,-0.976562,1.515625,0.000000,0.000000,0.000000
9.999000,-0.976562,1.546875,0.000000,0.000000,0.000000
9.999000,-0.976562,1.578125,0.000000,0.000000,0.000000
9.999000,-0.976562,1.609375,0.000000,0.000000,0.000000
9.999000,-0.976562,1.640625,0.000000,0.000000,0.000000
9.999000,-0.976562,1.671875,0.000000,0.000000,0.000000
9.999000,-0.976562,1.703125,0.000000,0.000000,0.000000
9.999000,-0.976562,1.734375,0.000000,0.000000,0.000000
9.999000,-0.976562,1.765625,0.000000,0.000000,0.000000
9.999000,-0.976562,1.796875,0.000000,0.000000,0.000000
9.999000,-0.976562,1.828125,0.000000,0.000000,0.000000
9.999000,-0.976562,1.859375,0.000000,0.000000,0.000000
9.999000,-0.976562,1.890625,0.000000,0.000000,0.000000
9.999000,-0.976562,1.921875,0.000000,0.000000,0.000000
9.999000,-0.976562,1.953125,0.000000,0.000000,0.000000
9.999000,-0.960938,0.046875,0.000260,0.000000,0.000000
9.999000,-0.960938,0.078125,0.000660,0.000000,0.000000
9.999000,-0.960938,0.109375,0.001207,0.000000,0.000000
9.999000,-0.960938,0.140625,0.001897,0.000000,0.000000
9.999000,-0.960938,0.171875,0.002711,0.000000,0.000000
9.999000,-0.960938,0.203125,0.003622,0.000000,0.000000
9.999000,-0.960938,0.234375,0.004593,0.000000,0.000000
9.999000,-0.960938,0.265625,0.005586,0.000000,0.000000
9.999000,-0.960938,0.296875,0.006561,0.000000,0.000000
9.999000,-0.960938,0.328125,0.007482,0.000000,0.000000
9.999000,-0.960938,0.359375,0.008318,0.000000,0.000000
9.999000,-0.960938,0.390625,0.009042,0.000000,0.000000
9.999000,-0.960938,0.421875,0.009634,0.000000,0.000000
9.999000,-0.960938,0.453125,0.010082,0.000000,0.000000
9.999000,-0.960938,0.484375,0.010378,0.000000,0.000000
9.999000,-0.960938,0.515625,0.010521,0.000000,0.000000
9.999000,-0.960938,0.546875,0.010513,0.000000,0.000000
9.999000,-0.960938,0.578125,0.010361,0.000000,0.000000
9.999000,-0.960938,0.609375,0.010075,0.000000,0.000000
9.999000,-0.960938,0.640625,0.009670,0.000000,0.000000
9.999000,-0.960938,0.671875,0.009160,0.000000,0.000000
9.999000,-0.960938,0.703125,0.008563,0.000000,0.000000
9.999000,-0.960938,0.734375,0.007897,0.000000,0.000000
9.999000,-0.960938,0.765625,0.007181,0.000000,0.000000
9.999000,-0.960938,0.796875,0.006436,0.000000,0.000000
9.999000,-0.960938,0.828125,0.005681,0.000000,0.000000
9.999000,-0.960938,0.859375,0.004935,0.000000,0.000000
9.999000,-0.960938,0.890625,0.004214,0.000000,0.000000
9.999000,-0.960938,0.921875,0.003533,0.000000,0.000000
9.999000,-0.960938,0.953125,0.002906,0.000000,0.000000
9.999000,-0.960938,0.984375,0.002342,0.000000,0.000000
9.999000,-0.960938,1.015625,0.001846,0.000000,0.000000
9.999000,-0.960938,1.046875,0.001422,0.000000,0.000000
9.999000,-0.960938,1.078125,0.001069,0.000000,0.000000
9.999000,-0.960938,1.109375,0.000783,0.000000,0.000000
