s,X,Y,phi,U,V
9.990000,-0.976562,0.046875,0.000056,0.000000,0.000000
9.990000,-0.976562,0.078125,0.000184,0.000000,0.000000
9.990000,-0.976562,0.109375,0.000406,0.000000,0.000000
9.990000,-0.976562,0.140625,0.000729,0.000000,0.000000
9.990000,-0.976562,0.171875,0.001150,0.000000,0.000000
9.990000,-0.976562,0.203125,0.001647,0.000000,0.000000
9.990000,-0.976562,0.234375,0.002196,0.000000,0.000000
9.990000,-0.976562,0.265625,0.002764,0.000000,0.000000
9.990000,-0.976562,0.296875,0.003323,0.000000,0.000000
9.990000,-0.976562,0.328125,0.003844,0.000000,0.000000
9.990000,-0.976562,0.359375,0.004306,0.000000,0.000000
9.990000,-0.976562,0.390625,0.004693,0.000000,0.000000
9.990000,-0.976562,0.421875,0.004992,0.000000,0.000000
9.990000,-0.976562,0.453125,0.005199,0.000000,0.000000
9.990000,-0.976562,0.484375,0.005310,0.000000,0.000000
9.990000,-0.976562,0.515625,0.005327,0.000000,0.000000
9.990000,-0.976562,0.546875,0.005255,0.000000,0.000000
9.990000,-0.976562,0.578125,0.005100,0.000000,0.000000
9.990000,-0.976562,0.609375,0.004872,0.000000,0.000000
9.990000,-0.976562,0.640625,0.004580,0.000000,0.000000
9.990000,-0.976562,0.671875,0.004237,0.000000,0.000000
9.990000,-0.976562,0.703125,0.003855,0.000000,0.000000
9.990000,-0.976562,0.734375,0.003449,0.000000,0.000000
9.990000,-0.976562,0.765625,0.003031,0.000000,0.000000
9.990000,-0.976562,0.796875,0.002617,0.000000,0.000000
9.990000,-0.976562,0.828125,0.002219,0.000000,0.000000
9.990000,-0.976562,0.859375,0.001849,0.000000,0.000000
9.990000,-0.976562,0.890625,0.001514,0.000000,0.000000
9.990000,-0.976562,0.921875,0.001222,0.000000,0.000000
9.990000,-0.976562,0.953125,0.000974,0.000000,0.000000
9.990000,-0.976562,0.984375,0.000770,0.000000,0.000000
9.990000,-0.976562,1.015625,0.000608,0.000000,0.000000
9.990000,-0.976562,1.046875,0.000464,0.000000,0.000000
9.990000,-0.976562,1.078125,0.000340,0.000000,0.000000
9.990000,-0.976562,1.109375,0.000238,0.000000,0.000000
9.990000,-0.976562,1.140625,0.000158,0.000000,0.000000
9.990000,-0.976562,1.171875,0.000098,0.000000,0.000000
9.990000,-0.976562,1.203125,0.000057,0.000000,0.000000
9.990000,-0.976562,1.234375,0.000030,0.000000,0.000000
9.990000,-0.976562,1.265625,0.000015,0.000000,0.000000
9.990000,-0.976562,1.296875,0.000006,0.000000,0.000000
9.990000,-0.976562,1.328125,0.000002,0.000000,0.000000
9.990000,-0.976562,1.359375,0.000001,0.000000,0.000000
