UDS,1.506705,1.448171,1.385929,1.322428,1.259253,1.197339,1.137180,1.078998,1.022849,0.968694,0.916443,0.865977,0.817164,0.769864,0.723933,0.679220,0.635573,0.592832,0.550831,0.509399,0.468360,0.427533,0.386738,0.345803,0.304565,0.262882,0.220640,0.177761,0.134212,0.090011,0.045231,

CDS,1.511577,1.453460,1.391650,1.328571,1.265754,1.204084,1.144022,1.085767,1.029372,0.974800,0.921974,0.870790,0.821137,0.772898,0.725954,0.680180,0.635453,0.591642,0.548609,0.506215,0.464311,0.422748,0.381375,0.340047,0.298630,0.257004,0.215077,0.172786,0.130102,0.087038,0.043642,

HDS,1.511577,1.453460,1.391650,1.328571,1.265754,1.204084,1.144022,1.085767,1.029372,0.974800,0.921974,0.870790,0.821137,0.772898,0.725954,0.680180,0.635453,0.591642,0.548609,0.506215,0.464311,0.422748,0.381375,0.340047,0.298630,0.257004,0.215077,0.172786,0.130102,0.087038,0.043642,

PDS,1.539075,1.482516,1.422334,1.360764,1.299087,1.237981,1.177778,1.118620,1.060551,1.003575,0.947676,0.892843,0.839065,0.786342,0.734678,0.684080,0.634552,0.586093,0.538695,0.492336,0.446984,0.402595,0.359116,0.316490,0.274657,0.233563,0.193159,0.153403,0.114255,0.075676,0.037615,

EDS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,

