UDS,1.999972,1.999946,1.999895,1.999795,1.999610,1.999282,1.998719,1.997792,1.996317,1.994049,1.990670,1.985785,1.978920,1.969528,1.957000,1.940682,1.919907,1.894018,1.862414,1.824577,1.780118,1.728802,1.670577,1.605591,1.534202,1.456969,1.374641,1.288132,1.198487,1.106843,1.014387,0.922312,0.831770,0.743840,0.659486,0.579538,0.504670,0.435388,0.372031,0.314774,0.263640,0.218513,0.179164,0.145266,0.116421,0.092182,0.072074,0.055611,0.042314,0.031726,0.023417,0.016997,0.012117,0.008471,0.005797,0.003875,0.002523,0.001595,0.000974,0.000572,0.000319,0.000165,0.000070,

CDS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,

HDS,1.999998,1.999997,1.999993,1.999984,1.999961,1.999907,1.999793,1.999560,1.999114,1.998308,1.996919,1.994639,1.991049,1.985618,1.977700,1.966539,1.951298,1.931094,1.905039,1.872305,1.832174,1.784105,1.727778,1.663144,1.590442,1.510213,1.423284,1.330597,1.233659,1.133921,1.032888,0.932110,0.833096,0.737249,0.645806,0.559808,0.480068,0.407160,0.341424,0.282974,0.231720,0.187335,0.149540,0.117814,0.091547,0.070115,0.052891,0.039245,0.028637,0.020533,0.014442,0.009946,0.006702,0.004405,0.002819,0.001751,0.001052,0.000608,0.000337,0.000177,0.000088,0.000040,0.000015,

PDS,1.999999,1.999998,1.999995,1.999988,1.999968,1.999921,1.999818,1.999604,1.999189,1.998427,1.997103,1.994909,1.991431,1.986141,1.978389,1.967418,1.952385,1.932398,1.906559,1.874026,1.834070,1.786136,1.729894,1.665285,1.592544,1.512210,1.425112,1.332344,1.235215,1.135190,1.033826,0.932698,0.833335,0.737152,0.645404,0.559139,0.479180,0.406106,0.340257,0.281744,0.230477,0.186187,0.148467,0.116803,0.090611,0.069269,0.052144,0.038621,0.028117,0.020099,0.014088,0.009667,0.006482,0.004238,0.002694,0.001659,0.000986,0.000561,0.000304,0.000155,0.000073,0.000031,0.000011,

EDS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,

