UDS,1.668886,1.626668,1.582392,1.537640,1.493401,1.450228,1.408394,1.367999,1.329047,1.291490,1.255251,1.220245,1.186384,1.153585,1.121768,1.090859,1.060792,1.031505,1.002944,0.975057,0.947799,0.921128,0.895004,0.869393,0.844261,0.819577,0.795313,0.771442,0.747937,0.724773,0.701927,0.679376,0.657097,0.635069,0.613269,0.591676,0.570270,0.549029,0.527933,0.506961,0.486093,0.465308,0.444588,0.423912,0.403262,0.382620,0.361968,0.341291,0.320573,0.299800,0.278961,0.258043,0.237040,0.215943,0.194748,0.173454,0.152059,0.130567,0.108982,0.087312,0.065565,0.043755,0.021895,

CDS,1.670828,1.628838,1.584804,1.540302,1.496306,1.453359,1.411726,1.371504,1.332692,1.295242,1.259076,1.224111,1.190260,1.157438,1.125570,1.094582,1.064409,1.034991,1.006274,0.978209,0.950752,0.923861,0.897500,0.871635,0.846235,0.821269,0.796711,0.772536,0.748719,0.725238,0.702071,0.679197,0.656594,0.634244,0.612128,0.590224,0.568516,0.546984,0.525610,0.504376,0.483263,0.462254,0.441331,0.420476,0.399675,0.378909,0.358165,0.337427,0.316682,0.295918,0.275123,0.254288,0.233405,0.212468,0.191472,0.170413,0.149292,0.128110,0.106868,0.085572,0.064229,0.042846,0.021433,

HDS,1.670828,1.628838,1.584804,1.540302,1.496306,1.453359,1.411726,1.371504,1.332692,1.295242,1.259076,1.224111,1.190260,1.157438,1.125570,1.094582,1.064409,1.034991,1.006274,0.978209,0.950752,0.923861,0.897500,0.871635,0.846235,0.821269,0.796711,0.772536,0.748719,0.725238,0.702071,0.679197,0.656594,0.634244,0.612128,0.590224,0.568516,0.546984,0.525610,0.504376,0.483263,0.462254,0.441331,0.420476,0.399675,0.378909,0.358165,0.337427,0.316682,0.295918,0.275123,0.254288,0.233405,0.212468,0.191472,0.170413,0.149292,0.128110,0.106868,0.085572,0.064229,0.042846,0.021433,

PDS,1.680419,1.639488,1.596573,1.553209,1.510319,1.468398,1.427680,1.388242,1.350074,1.313124,1.277315,1.242565,1.208793,1.175919,1.143871,1.112583,1.081996,1.052056,1.022714,0.993929,0.965661,0.937877,0.910547,0.883642,0.857140,0.831018,0.805256,0.779836,0.754744,0.729962,0.705480,0.681282,0.657358,0.633697,0.610288,0.587120,0.564183,0.541469,0.518965,0.496665,0.474556,0.452631,0.430879,0.409292,0.387860,0.366573,0.345423,0.324402,0.303500,0.282710,0.262026,0.241438,0.220942,0.200531,0.180199,0.159943,0.139756,0.119634,0.099573,0.079568,0.059614,0.039706,0.019837,

EDS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,

