UDS,1.682746,1.618114,1.518076,1.389305,1.239692,1.077743,0.911888,0.749826,0.597988,0.461195,0.342535,0.243436,0.163881,0.102675,0.056727,

CDS,2.517873,2.479933,2.390701,2.233414,1.961829,1.572372,1.069018,0.549865,0.118360,-0.080775,-0.074151,0.035461,0.044176,-0.016859,0.000149,

HDS,1.700668,1.636973,1.536396,1.405657,1.252895,1.087013,0.916917,0.750776,0.595417,0.455934,0.335551,0.235694,0.156237,0.095837,0.052316,

PDS,1.700668,1.636973,1.536396,1.405657,1.252895,1.087013,0.916918,0.750777,0.595418,0.455937,0.335555,0.235698,0.156240,0.095838,0.052313,

EDS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,

