UDS,1.506738,1.448212,1.385979,1.322485,1.259319,1.197412,1.137261,1.079087,1.022944,0.968795,0.916549,0.866088,0.817279,0.769982,0.724053,0.679342,0.635695,0.592954,0.550952,0.509517,0.468474,0.427642,0.386841,0.345899,0.304652,0.262959,0.220706,0.177815,0.134254,0.090040,0.045246,

CDS,1.511595,1.453483,1.391678,1.328602,1.265790,1.204125,1.144066,1.085816,1.029423,0.974855,0.922031,0.870849,0.821198,0.772960,0.726016,0.680243,0.635516,0.591703,0.548670,0.506274,0.464367,0.422801,0.381425,0.340093,0.298671,0.257041,0.215108,0.172811,0.130122,0.087051,0.043648,

HDS,1.511595,1.453483,1.391677,1.328602,1.265790,1.204125,1.144066,1.085816,1.029423,0.974855,0.922031,0.870849,0.821198,0.772960,0.726016,0.680243,0.635516,0.591703,0.548670,0.506274,0.464367,0.422801,0.381425,0.340093,0.298671,0.257041,0.215108,0.172811,0.130122,0.087051,0.043648,

PDS,1.539077,1.482519,1.422338,1.360768,1.299091,1.237986,1.177784,1.118626,1.060558,1.003581,0.947683,0.892849,0.839072,0.786349,0.734685,0.684086,0.634558,0.586099,0.538701,0.492341,0.446989,0.402599,0.359120,0.316493,0.274660,0.233566,0.193162,0.153404,0.114256,0.075677,0.037616,

EDS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,

