UDS,1.999999,1.999999,1.999998,1.999997,1.999996,1.999994,1.999991,1.999987,1.999982,1.999974,1.999963,1.999948,1.999926,1.999896,1.999854,1.999796,1.999717,1.999610,1.999466,1.999273,1.999018,1.998681,1.998242,1.997672,1.996940,1.996005,1.994822,1.993336,1.991483,1.989191,1.986377,1.982948,1.978801,1.973822,1.967886,1.960863,1.952611,1.942983,1.931827,1.918990,1.904318,1.887660,1.868873,1.847822,1.824385,1.798459,1.769957,1.738820,1.705009,1.668519,1.629371,1.587621,1.543355,1.496692,1.447784,1.396812,1.343987,1.289544,1.233741,1.176856,1.119179,1.061012,1.002661,0.944433,0.886632,0.829550,0.773469,0.718652,0.665344,0.613765,0.564110,0.516545,0.471211,0.428216,0.387643,0.349543,0.313942,0.280840,0.250212,0.222013,0.196177,0.172622,0.151253,0.131963,0.114633,0.099144,0.085367,0.073175,0.062438,0.053032,0.044833,0.037722,0.031586,0.026320,0.021823,0.018004,0.014777,0.012066,0.009800,0.007917,0.006360,0.005081,0.004036,0.003187,0.002502,0.001952,0.001513,0.001166,0.000892,0.000678,0.000512,0.000383,0.000285,0.000210,0.000154,0.000112,0.000080,0.000057,0.000040,0.000028,0.000020,0.000013,0.000009,0.000006,0.000004,0.000002,0.000001,

CDS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,

HDS,2.000000,2.000000,2.000000,2.000000,1.999999,1.999999,1.999999,1.999999,1.999998,1.999997,1.999996,1.999995,1.999992,1.999989,1.999984,1.999977,1.999967,1.999952,1.999931,1.999900,1.999857,1.999794,1.999706,1.999583,1.999411,1.999174,1.998850,1.998409,1.997816,1.997026,1.995982,1.994616,1.992846,1.990575,1.987689,1.984055,1.979523,1.973926,1.967078,1.958778,1.948811,1.936950,1.922965,1.906622,1.887692,1.865955,1.841209,1.813274,1.782003,1.747285,1.709057,1.667304,1.622064,1.573428,1.521546,1.466619,1.408905,1.348712,1.286390,1.222327,1.156942,1.090676,1.023993,0.957361,0.891238,0.826068,0.762267,0.700217,0.640266,0.582718,0.527835,0.475837,0.426890,0.381111,0.338566,0.299271,0.263204,0.230307,0.200491,0.173635,0.149595,0.128207,0.109295,0.092677,0.078164,0.065567,0.054701,0.045385,0.037447,0.030725,0.025068,0.020337,0.016405,0.013157,0.010491,0.008316,0.006553,0.005134,0.003997,0.003094,0.002380,0.001820,0.001383,0.001044,0.000783,0.000584,0.000433,0.000319,0.000233,0.000169,0.000122,0.000088,0.000062,0.000044,0.000031,0.000022,0.000015,0.000010,0.000007,0.000005,0.000003,0.000002,0.000001,0.000001,0.000001,0.000000,0.000000,

PDS,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,1.999999,1.999999,1.999998,1.999998,1.999996,1.999995,1.999992,1.999988,1.999982,1.999973,1.999960,1.999941,1.999912,1.999871,1.999810,1.999724,1.999600,1.999426,1.999182,1.998843,1.998378,1.997746,1.996896,1.995765,1.994275,1.992333,1.989828,1.986630,1.982592,1.977543,1.971295,1.963642,1.954361,1.943214,1.929959,1.914345,1.896125,1.875063,1.850936,1.823547,1.792729,1.758354,1.720341,1.678660,1.633334,1.584451,1.532154,1.476652,1.418208,1.357143,1.293825,1.228666,1.162111,1.094628,1.026701,0.958818,0.891460,0.825093,0.760156,0.697056,0.636159,0.577787,0.522210,0.469648,0.420265,0.374175,0.331438,0.292070,0.256038,0.223273,0.193669,0.167093,0.143387,0.122377,0.103873,0.087680,0.073600,0.061435,0.050991,0.042081,0.034528,0.028167,0.022844,0.018417,0.014760,0.011758,0.009311,0.007327,0.005731,0.004455,0.003441,0.002641,0.002014,0.001526,0.001148,0.000859,0.000638,0.000470,0.000345,0.000251,0.000181,0.000130,0.000092,0.000065,0.000046,0.000032,0.000022,0.000015,0.000010,0.000007,0.000005,0.000003,0.000002,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,

EDS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,

