UDS,1.978378,1.951877,1.916659,1.877649,1.839319,1.804256,1.773261,1.746100,1.722169,1.700845,1.681612,1.664065,1.647892,1.632846,1.618735,1.605402,1.592719,1.580581,1.568900,1.557601,1.546622,1.535909,1.525413,1.515093,1.504912,1.494835,1.484832,1.474873,1.464930,1.454975,1.444982,1.434922,1.424767,1.414489,1.404056,1.393440,1.382607,1.371528,1.360172,1.348510,1.336517,1.324170,1.311454,1.298358,1.284880,1.271030,1.256824,1.242293,1.227478,1.212434,1.197223,1.181924,1.166621,1.151407,1.136381,1.121646,1.107306,1.093461,1.080208,1.067637,1.055828,1.044848,1.034752,1.025581,1.017359,1.010094,1.003780,0.998397,0.993910,0.990271,0.987426,0.985309,0.983848,0.982971,0.982599,0.982658,0.983071,0.983769,0.984684,0.985755,0.986929,0.988157,0.989400,0.990623,0.991799,0.992909,0.993937,0.994873,0.995714,0.996458,0.997106,0.997664,0.998137,0.998533,0.998859,0.999125,0.999338,0.999506,0.999637,0.999738,0.999814,0.999870,0.999911,0.999940,0.999960,0.999975,0.999984,0.999990,0.999994,0.999997,0.999998,0.999999,0.999999,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999984,0.994658,

CDS,2.011370,2.057776,2.121967,2.148137,2.113755,2.043164,1.967922,1.902926,1.848671,1.801189,1.757698,1.717291,1.679835,1.645162,1.612925,1.582731,1.554263,1.527298,1.501674,1.477252,1.453907,1.431531,1.410030,1.389332,1.369374,1.350106,1.331485,1.313475,1.296049,1.279183,1.262861,1.247066,1.231795,1.217032,1.202785,1.189032,1.175805,1.163053,1.150850,1.139092,1.127928,1.117148,1.107040,1.097210,1.088177,1.079250,1.071316,1.063228,1.056431,1.049102,1.043496,1.036838,1.032500,1.026414,1.023432,1.017802,1.016266,1.010940,1.010921,1.005707,1.007243,1.001900,1.004999,0.999252,1.003898,0.997460,1.003637,0.996228,1.003938,0.995309,1.004579,0.994518,1.005410,0.993740,1.006339,0.992915,1.007324,0.992017,1.008350,0.991043,1.009417,0.989995,1.010530,0.988877,1.011698,0.987690,1.012926,0.986432,1.014224,0.985097,1.015601,0.983677,1.017070,0.982157,1.018645,0.980521,1.020348,0.978745,1.022206,0.976796,1.024255,0.974634,1.026544,0.972202,1.029138,0.969423,1.032128,0.966189,1.035644,0.962345,1.039875,0.957658,1.045107,0.951768,1.051799,0.944085,1.060727,0.933565,1.073322,0.918193,1.092528,0.893491,1.125504,0.847225,1.195135,0.730583,1.430501,

HDS,1.978562,1.952143,1.916951,1.877912,1.839528,1.804411,1.773374,1.746183,1.722231,1.700892,1.681647,1.664091,1.647910,1.632859,1.618743,1.605406,1.592719,1.580578,1.568894,1.557593,1.546612,1.535897,1.525400,1.515078,1.504896,1.494818,1.484814,1.474854,1.464911,1.454955,1.444962,1.434902,1.424747,1.414468,1.404036,1.393420,1.382588,1.371509,1.360154,1.348493,1.336500,1.324154,1.311439,1.298344,1.284868,1.271018,1.256813,1.242283,1.227469,1.212425,1.197215,1.181916,1.166613,1.151399,1.136373,1.121639,1.107298,1.093453,1.080200,1.067629,1.055819,1.044840,1.034744,1.025573,1.017351,1.010087,1.003774,0.998392,0.993905,0.990268,0.987423,0.985307,0.983847,0.982971,0.982600,0.982659,0.983073,0.983771,0.984686,0.985758,0.986932,0.988161,0.989403,0.990626,0.991803,0.992912,0.993940,0.994876,0.995717,0.996460,0.997108,0.997666,0.998139,0.998534,0.998860,0.999126,0.999339,0.999507,0.999638,0.999738,0.999814,0.999870,0.999911,0.999940,0.999961,0.999975,0.999984,0.999990,0.999994,0.999997,0.999998,0.999999,0.999999,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,

PDS,1.978562,1.952143,1.916951,1.877912,1.839528,1.804411,1.773374,1.746183,1.722231,1.700892,1.681647,1.664091,1.647910,1.632859,1.618743,1.605406,1.592719,1.580578,1.568894,1.557593,1.546612,1.535897,1.525400,1.515078,1.504896,1.494818,1.484814,1.474854,1.464911,1.454955,1.444962,1.434902,1.424747,1.414468,1.404036,1.393420,1.382588,1.371509,1.360154,1.348493,1.336500,1.324154,1.311439,1.298344,1.284868,1.271018,1.256813,1.242283,1.227469,1.212425,1.197215,1.181916,1.166613,1.151399,1.136373,1.121639,1.107298,1.093453,1.080200,1.067629,1.055819,1.044840,1.034744,1.025573,1.017351,1.010087,1.003774,0.998392,0.993905,0.990268,0.987423,0.985307,0.983847,0.982971,0.982600,0.982659,0.983073,0.983771,0.984686,0.985758,0.986932,0.988161,0.989403,0.990626,0.991803,0.992912,0.993940,0.994876,0.995717,0.996460,0.997108,0.997666,0.998139,0.998534,0.998860,0.999126,0.999339,0.999507,0.999638,0.999738,0.999814,0.999870,0.999911,0.999940,0.999961,0.999975,0.999984,0.999990,0.999994,0.999997,0.999998,0.999999,0.999999,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,

EDS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,

