UDS,1.999999,1.999998,1.999996,1.999989,1.999970,1.999925,1.999824,1.999615,1.999208,1.998457,1.997149,1.994976,1.991527,1.986271,1.978560,1.967636,1.952655,1.932721,1.906934,1.874450,1.834536,1.786634,1.730412,1.665809,1.593057,1.512696,1.425556,1.332733,1.235537,1.135438,1.033995,0.932788,0.833347,0.737093,0.645280,0.558962,0.478960,0.405855,0.339986,0.281464,0.230197,0.185917,0.148213,0.116569,0.090401,0.069083,0.051984,0.038486,0.028005,0.020008,0.014015,0.009610,0.006439,0.004205,0.002670,0.001641,0.000973,0.000553,0.000298,0.000151,0.000070,0.000029,0.000010,

CDS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,

HDS,1.999999,1.999998,1.999996,1.999989,1.999970,1.999925,1.999825,1.999616,1.999209,1.998460,1.997153,1.994983,1.991537,1.986285,1.978579,1.967661,1.952686,1.932758,1.906978,1.874501,1.834593,1.786696,1.730477,1.665874,1.593122,1.512758,1.425613,1.332783,1.235579,1.135470,1.034017,0.932799,0.833348,0.737084,0.645263,0.558938,0.478930,0.405821,0.339949,0.281427,0.230161,0.185881,0.148180,0.116539,0.090374,0.069060,0.051964,0.038469,0.027992,0.019997,0.014007,0.009604,0.006434,0.004202,0.002667,0.001640,0.000972,0.000552,0.000298,0.000151,0.000070,0.000029,0.000010,

PDS,1.999999,1.999998,1.999996,1.999989,1.999970,1.999925,1.999825,1.999616,1.999209,1.998460,1.997153,1.994983,1.991537,1.986285,1.978579,1.967661,1.952686,1.932758,1.906978,1.874501,1.834593,1.786696,1.730477,1.665874,1.593122,1.512758,1.425613,1.332783,1.235579,1.135470,1.034017,0.932799,0.833348,0.737084,0.645263,0.558938,0.478930,0.405821,0.339949,0.281427,0.230161,0.185881,0.148180,0.116539,0.090374,0.069060,0.051964,0.038469,0.027992,0.019997,0.014007,0.009604,0.006434,0.004202,0.002667,0.001640,0.000972,0.000552,0.000298,0.000151,0.000070,0.000029,0.000010,

EDS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,

