UDS,1.700650,1.636953,1.536377,1.405640,1.252881,1.087003,0.916913,0.750778,0.595424,0.455948,0.335575,0.235731,0.156293,0.095925,0.052456,

CDS,2.781286,2.765172,2.679443,2.530822,2.208404,1.765656,1.144323,0.506169,-0.010076,-0.192835,-0.059656,0.188455,0.217553,-0.056617,0.014254,

HDS,1.700668,1.636973,1.536396,1.405657,1.252895,1.087013,0.916918,0.750778,0.595421,0.455943,0.335567,0.235723,0.156285,0.095918,0.052451,

PDS,1.700668,1.636973,1.536396,1.405657,1.252895,1.087013,0.916918,0.750778,0.595421,0.455943,0.335567,0.235723,0.156285,0.095918,0.052451,

EDS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,

